station_id,architecture,target_variable,ablation_group,mae,mae_baseline,delta_mae,n_features
KMDW,catboost,MinT,Bias,1.4957740479038963,1.351636203682428,0.1441378442214682,44
KMDW,catboost,MinT,Lags,1.337843550826289,1.351636203682428,-0.0137926528561391,42
KMDW,catboost,MinT,Rolling,1.3199075905852953,1.351636203682428,-0.0317286130971328,36
KMDW,catboost,MinT,NWP_atmosphere,1.3683845541261537,1.351636203682428,0.0167483504437253,43
KMDW,catboost,MinT,Physics,1.3615684941082924,1.351636203682428,0.0099322904258642,41
KMDW,catboost,MinT,Time,1.4466788525028649,1.351636203682428,0.0950426488204367,44
KMDW,xgboost,MinT,ECMWF,1.328488577157259,1.295994937153799,0.0324936400034598,44
KMDW,xgboost,MinT,Bias,1.4140550052481038,1.295994937153799,0.1180600680943047,44
KMDW,xgboost,MinT,Lags,1.3279215193220548,1.295994937153799,0.0319265821682557,42
KMDW,xgboost,MinT,Rolling,1.3479439515088285,1.295994937153799,0.0519490143550294,36
KMDW,xgboost,MinT,NWP_atmosphere,1.289080017379352,1.295994937153799,-0.0069149197744471,43
KMDW,xgboost,MinT,Physics,1.2961040011474063,1.295994937153799,0.0001090639936074,41
KMDW,xgboost,MinT,Time,1.2778558526188135,1.295994937153799,-0.0181390845349855,44
KMDW,lightgbm,MinT,ECMWF,1.5000430139633825,1.5363115961267688,-0.0362685821633863,44
KMDW,lightgbm,MinT,Bias,1.5935994489361511,1.5363115961267688,0.0572878528093823,44
KMDW,lightgbm,MinT,Lags,1.5557522031968414,1.5363115961267688,0.0194406070700725,42
KMDW,lightgbm,MinT,Rolling,1.5699199868218947,1.5363115961267688,0.0336083906951258,36
KMDW,lightgbm,MinT,NWP_atmosphere,1.549234600201554,1.5363115961267688,0.0129230040747851,43
KMDW,lightgbm,MinT,Physics,1.544399887599747,1.5363115961267688,0.0080882914729778,41
KMDW,lightgbm,MinT,Time,1.5614721068767277,1.5363115961267688,0.0251605107499588,44
KMDW,linear,MinT,ECMWF,1.060033448556398,1.0567890908616837,0.0032443576947145,44
KMDW,linear,MinT,Bias,1.0669628749865752,1.0567890908616837,0.0101737841248916,44
KMDW,linear,MinT,Lags,1.0617401627140446,1.0567890908616837,0.0049510718523611,42
KMDW,linear,MinT,Rolling,1.0628430614977078,1.0567890908616837,0.0060539706360243,36
KMDW,linear,MinT,NWP_atmosphere,1.050858031472279,1.0567890908616837,-0.0059310593894044,43
KMDW,linear,MinT,Physics,1.0232586865809987,1.0567890908616837,-0.0335304042806847,41
KMDW,linear,MinT,Time,1.0632043745579416,1.0567890908616837,0.0064152836962581,44
KMDW,mlp,MinT,ECMWF,1.054758159938623,1.054758159938623,0.0,44
KMDW,mlp,MinT,Bias,1.0884913170962207,1.054758159938623,0.0337331571575976,44
KMDW,mlp,MinT,Lags,1.0581967564701902,1.054758159938623,0.003438596531567,42
KMDW,mlp,MinT,Rolling,1.0461766710532137,1.054758159938623,-0.0085814888854094,36
KMDW,mlp,MinT,NWP_atmosphere,1.0547581599386189,1.054758159938623,-4.440892098500626e-15,43
KMDW,mlp,MinT,Physics,1.0326382505221057,1.054758159938623,-0.0221199094165174,41
KMDW,mlp,MinT,Time,1.054758159938654,1.054758159938623,3.086420008457935e-14,44
KMSP,catboost,MaxT,ECMWF,1.263440245870916,1.2825778129532432,-0.0191375670823272,44
KMSP,catboost,MaxT,Bias,1.3015767404731124,1.2825778129532432,0.0189989275198692,44
KMSP,catboost,MaxT,Lags,1.323919308167156,1.2825778129532432,0.0413414952139126,42
KMSP,catboost,MaxT,Rolling,1.3885509948602288,1.2825778129532432,0.1059731819069855,36
KMSP,catboost,MaxT,NWP_atmosphere,1.4343629776802058,1.2825778129532432,0.1517851647269625,43
KMSP,catboost,MaxT,Physics,1.2827491030995266,1.2825778129532432,0.0001712901462833,41
KMSP,catboost,MaxT,Time,1.3370831294908996,1.2825778129532432,0.0545053165376563,44
KMSP,xgboost,MaxT,ECMWF,1.0518091173298592,1.0320465142747997,0.0197626030550595,44
KMSP,xgboost,MaxT,Bias,1.0402841214585092,1.0320465142747997,0.0082376071837095,44
KMSP,xgboost,MaxT,Lags,1.001478975325559,1.0320465142747997,-0.0305675389492405,42
KMSP,xgboost,MaxT,Rolling,1.0375284673893346,1.0320465142747997,0.0054819531145349,36
KMSP,xgboost,MaxT,NWP_atmosphere,1.0165867578666823,1.0320465142747997,-0.0154597564081173,43
KMSP,xgboost,MaxT,Physics,1.0317580161896427,1.0320465142747997,-0.0002884980851569,41
KMSP,xgboost,MaxT,Time,1.042453972111761,1.0320465142747997,0.0104074578369612,44
KMSP,lightgbm,MaxT,ECMWF,1.1943461548099867,1.200467508293304,-0.0061213534833173,44
KMSP,lightgbm,MaxT,Bias,1.2009835162050628,1.200467508293304,0.0005160079117587,44
KMSP,lightgbm,MaxT,Lags,1.1716749435557787,1.200467508293304,-0.0287925647375253,42
KMSP,lightgbm,MaxT,Rolling,1.1640539079156311,1.200467508293304,-0.0364136003776729,36
KMSP,lightgbm,MaxT,NWP_atmosphere,1.1746609797572982,1.200467508293304,-0.0258065285360058,43
KMSP,lightgbm,MaxT,Physics,1.1807438868063955,1.200467508293304,-0.0197236214869083,41
KMSP,lightgbm,MaxT,Time,1.2174187927642262,1.200467508293304,0.016951284470922,44
KMSP,linear,MaxT,ECMWF,0.7757296723473224,0.7748206148196364,0.0009090575276859,44
